Stage,Dimensions,Mean,Std,Sparsity
Raw,191,49.613403628832046,373.4620799365613,0.00015980571816296777
Normalized,191,2.618326888637057e-09,1.0,0.0
PCA,64,-1.6785941967854793e-09,1.6534308849313295,0.0
